,CellType,x_global,y_global
embryo1_Pos0_cell360_z2,Lateral plate mesoderm,1641.05330771882,1333.92118013822
embryo1_Pos0_cell361_z2,Lateral plate mesoderm,1641.34482020548,1335.07500802654
embryo1_Pos0_cell362_z2,Lateral plate mesoderm,1641.59009442039,1339.30121185167
embryo1_Pos0_cell363_z2,Gut tube,1641.14609375,1354.43490125868
embryo1_Pos0_cell364_z2,Lateral plate mesoderm,1641.25040363931,1344.56805456616
embryo1_Pos0_cell365_z2,Endothelium,1641.39751623067,1351.64756386787
embryo1_Pos0_cell366_z2,Gut tube,1641.82229459084,1355.75474901792
embryo1_Pos0_cell367_z2,Gut tube,1641.64159501852,1357.92232150048
embryo1_Pos0_cell368_z2,Lateral plate mesoderm,1641.97926596545,1336.63101242952
embryo1_Pos0_cell369_z2,Gut tube,1641.75532632469,1359.39876879107
embryo1_Pos0_cell37_z2,Lateral plate mesoderm,1619.95967535603,1351.02898066334
embryo1_Pos0_cell370_z2,Lateral plate mesoderm,1641.91148284544,1342.51353362669
embryo1_Pos0_cell371_z2,Lateral plate mesoderm,1641.78057830962,1349.30583289607
embryo1_Pos0_cell372_z2,Gut tube,1641.65236995719,1356.91916462527
embryo1_Pos0_cell373_z2,Lateral plate mesoderm,1642.13730278959,1345.89779307227
embryo1_Pos0_cell374_z2,Lateral plate mesoderm,1642.66123872945,1343.31513974495
embryo1_Pos0_cell375_z2,Haematoendothelial progenitors,1642.41024420639,1351.47932696102
embryo1_Pos0_cell376_z2,Haematoendothelial progenitors,1642.40141865498,1354.16348580025
embryo1_Pos0_cell377_z2,Lateral plate mesoderm,1642.36819263748,1338.0314770959
embryo1_Pos0_cell378_z2,Lateral plate mesoderm,1642.31569636418,1341.78435621995
embryo1_Pos0_cell379_z2,Lateral plate mesoderm,1642.53970963257,1348.17003737093
embryo1_Pos0_cell380_z2,Lateral plate mesoderm,1642.52755119897,1344.2828799562
